aX,aY,aZ,gX,gY,gZ
-0.327,-0.046,0.724,6.836,-3.235,-7.996
-0.287,0.011,0.810,5.981,-4.578,-5.920
-0.215,0.087,0.887,5.920,-0.061,-5.737
-0.176,0.092,0.891,11.780,5.615,-6.531
-0.219,0.063,0.885,15.808,7.385,-9.033
-0.340,0.029,0.919,12.207,3.235,-14.099
-0.495,0.012,0.979,9.338,-5.005,-19.226
-0.559,0.021,0.997,6.653,-12.329,-19.836
-0.487,0.067,0.981,1.526,-12.024,-16.907
-0.402,0.083,0.965,-2.136,-3.906,-11.902
-0.354,0.069,0.966,-5.615,-0.488,-9.216
-0.362,0.057,1.036,-7.874,-3.906,-8.423
-0.366,0.026,1.117,-6.653,-4.639,-7.324
-0.408,0.014,1.182,-3.784,-1.160,-7.080
-0.413,0.025,1.176,0.305,-1.404,-7.690
-0.388,0.028,1.086,5.188,-3.174,-6.714
-0.407,0.054,1.002,7.996,-1.587,-7.202
-0.429,0.067,0.882,10.620,1.526,-7.507
-0.427,0.052,0.771,10.803,4.883,-4.395
-0.407,0.031,0.709,8.240,3.601,-1.831
-0.392,0.029,0.709,3.967,-2.380,-0.977
-0.318,0.027,0.778,-1.770,-6.226,0.488
-0.286,0.024,0.859,-5.554,-4.639,0.000
-0.278,0.030,0.930,-6.226,-4.517,-2.136
-0.310,0.017,0.983,-5.005,-6.836,-3.662
-0.356,0.009,1.008,-3.235,-8.850,-5.127
-0.402,0.019,1.017,-1.587,-8.484,-5.554
-0.390,0.033,1.014,0.366,-5.066,-3.845
-0.324,0.058,0.979,2.014,-1.404,-2.075
-0.246,0.066,0.910,2.197,0.671,-1.526
-0.231,0.046,0.868,0.793,2.625,-1.831
-0.243,0.030,0.879,-2.869,4.639,-3.235

0.831,2.000,0.905,-51.086,49.500,-14.893
1.316,2.563,0.981,-72.205,77.881,-32.410
1.875,3.002,1.227,-94.421,100.403,-42.236
2.529,3.191,1.376,-96.130,116.760,-32.349
2.954,3.052,1.185,-61.584,112.183,-27.344
3.079,2.635,0.871,-22.705,71.350,-53.223
3.064,2.062,0.608,-11.719,5.066,-96.375
3.074,1.404,0.389,-28.564,-52.979,-139.648
2.803,0.539,0.019,-61.401,-86.731,-190.125
1.867,-0.710,-0.296,-98.206,-106.995,-235.535
0.039,-2.373,-0.007,-141.968,-84.717,-247.620
-2.309,-3.586,0.391,-171.753,-28.015,-238.647
-4.000,-4.000,0.695,-171.387,-26.245,-233.887
-4.000,-4.000,2.200,-174.011,-52.917,-200.500
-4.000,-3.573,3.366,-151.550,-56.213,-161.316
-4.000,-2.769,4.000,-80.811,-30.762,-93.445
-2.924,-2.204,3.172,14.587,16.052,-0.854
-1.208,-1.454,1.745,69.824,63.965,59.326
0.561,-0.769,0.246,75.623,95.581,84.473
1.901,-0.083,-0.578,50.049,93.994,82.825
2.084,0.233,-0.617,21.729,62.744,39.673
1.467,0.266,-0.333,17.212,1.160,-14.709
0.548,0.099,0.099,6.653,-55.725,-44.739
-0.280,-0.149,0.586,0.305,-63.354,-48.279
-0.656,-0.325,0.972,4.578,-33.691,-38.574
-0.715,-0.313,1.184,5.920,-2.686,-28.442
-0.620,-0.263,1.250,9.399,9.216,-22.095
-0.455,-0.259,1.148,16.663,9.155,-18.799
-0.413,-0.224,0.975,22.522,2.625,-19.043
-0.403,-0.172,0.836,23.804,-9.460,-20.447
-0.429,-0.104,0.738,19.592,-16.357,-20.691
-0.414,-0.028,0.710,15.320,-17.151,-19.531
-0.247,0.062,0.700,11.475,-10.376,-15.015
-0.086,0.100,0.715,6.714,2.197,-10.498
-0.084,0.076,0.770,4.517,11.108,-12.207
-0.229,0.052,0.882,3.113,6.165,-17.883
-0.451,0.031,1.000,4.456,-7.385,-20.752
-0.606,0.020,1.084,8.057,-15.442,-20.752
-0.613,0.036,1.069,10.925,-12.573,-18.616
-0.550,0.035,1.102,8.362,-3.357,-14.343
-0.451,0.093,1.091,6.653,2.014,-11.536
-0.377,0.110,1.043,6.897,2.319,-8.606
-0.365,0.098,0.984,7.324,1.099,-6.897
-0.407,0.065,0.972,6.653,-2.625,-6.653
-0.405,0.075,0.959,5.249,-10.010,-6.470
-0.338,0.052,0.952,3.601,-11.353,-4.333
-0.253,0.049,0.915,1.465,-5.920,-4.333
-0.261,0.049,0.931,-0.366,-3.296,-7.141
-0.315,0.032,0.952,0.610,-7.019,-9.460
-0.425,0.018,0.967,2.808,-11.597,-10.132
-0.450,0.036,0.927,4.517,-13.428,-8.057
-0.348,0.060,0.857,4.944,-8.301,-3.784
-0.262,0.045,0.787,5.493,-2.258,-1.343
-0.218,0.030,0.758,5.310,-2.441,-1.343
-0.242,0.016,0.782,2.136,-6.165,-2.197
-0.315,0.003,0.844,-1.709,-7.874,-4.395
-0.339,0.035,0.862,-3.540,-7.263,-4.822
-0.357,0.051,0.860,-3.662,-7.080,-3.296
-0.313,0.062,0.843,-3.357,-6.775,-1.099
-0.266,0.044,0.863,-5.066,-4.150,0.366
-0.250,0.041,0.940,-7.874,-2.197,-1.343
-0.290,0.034,1.036,-9.705,-3.967,-3.906
-0.340,0.012,1.095,-7.874,-6.958,-4.150
-0.398,-0.009,1.105,-3.906,-6.226,-3.540
-0.408,0.014,1.089,-1.465,-2.686,-2.319
-0.366,0.037,1.028,1.526,0.366,1.038
-0.270,0.038,0.946,4.211,3.357,4.822
-0.210,0.017,0.902,4.456,7.263,5.737
-0.206,0.003,0.887,2.869,5.920,3.540
-0.253,0.013,0.914,0.916,-0.305,1.038
-0.288,0.010,0.941,-0.122,-5.066,-0.183
-0.310,0.006,0.942,-0.366,-4.333,-0.671
-0.292,0.015,0.930,-1.099,-2.747,-0.183
-0.243,0.019,0.930,-1.465,-1.099,0.854
-0.228,0.011,0.951,-1.770,1.648,0.427
-0.252,0.005,0.979,-1.831,3.479,-0.977
-0.285,0.003,1.015,-1.404,3.723,-1.709
-0.326,0.010,1.017,-0.366,2.869,-2.197
-0.344,0.006,0.986,0.977,0.671,-2.563
-0.354,0.013,0.968,1.404,-1.099,-2.625
-0.307,0.034,0.982,0.549,-0.305,-1.465
-0.270,0.037,0.976,0.549,2.930,-1.099
-0.293,0.006,0.992,1.465,4.089,-1.709
-0.313,0.004,0.981,1.648,2.014,-2.869
-0.349,-0.000,0.981,1.282,0.549,-3.845
-0.365,0.011,0.973,0.305,-2.075,-4.272
-0.346,0.028,0.995,-0.610,-5.066,-3.967
-0.327,0.024,1.005,-0.427,-7.324,-2.991
-0.328,0.030,1.045,-0.122,-6.409,-2.258
-0.324,0.035,1.078,1.160,-3.784,-0.916
-0.324,0.030,1.090,4.395,-1.587,0.183
-0.337,0.015,1.056,7.446,-1.831,0.305
-0.348,0.011,1.027,7.629,-3.723,0.183
-0.325,0.033,1.011,6.104,-4.028,-0.671
-0.290,0.043,0.988,4.700,-2.258,-1.038
-0.274,0.040,0.972,3.479,-1.038,-1.648
-0.286,0.045,0.980,2.197,-2.258,-2.991
-0.308,0.038,1.001,2.075,-5.615,-3.174
-0.304,0.047,1.009,2.686,-6.775,-2.991
-0.278,0.044,0.990,4.089,-4.883,-2.686
-0.255,0.040,0.954,4.700,-3.967,-3.174
-0.234,0.035,0.919,3.906,-5.005,-4.211
-0.246,0.023,0.914,2.197,-5.920,-6.226
-0.277,0.018,0.917,-0.061,-6.653,-8.545
-0.293,0.014,0.916,-1.770,-7.568,-9.888
-0.321,0.004,0.929,-2.991,-7.568,-10.254
-0.301,0.024,0.934,-3.967,-8.057,-10.925
-0.301,0.011,0.952,-3.479,-7.629,-9.766
-0.297,-0.002,0.974,-2.197,-6.775,-8.545
-0.305,-0.005,1.002,-0.793,-4.578,-7.812
-0.318,-0.016,1.033,2.197,-1.160,-6.348
-0.335,-0.027,1.065,7.202,2.869,-4.395
-0.360,-0.052,1.087,13.855,8.423,-1.221
-0.387,-0.078,1.090,21.912,15.259,3.418
-0.436,-0.109,1.080,31.189,21.729,9.644
-0.489,-0.163,1.082,41.809,27.039,17.578
-0.545,-0.209,1.054,52.002,29.114,26.306
-0.606,-0.254,1.033,62.134,22.522,33.875
-0.674,-0.309,1.014,67.993,9.949,42.847

1.175,1.624,1.146,-46.326,35.156,-2.808
1.915,2.044,1.354,-66.956,72.876,-0.427
2.902,2.554,1.425,-79.651,118.774,15.076
3.921,2.671,1.065,-41.687,149.841,17.639
3.998,2.568,0.399,26.855,143.921,-4.700
3.998,1.851,-0.138,43.518,73.059,-80.078
3.998,1.253,-0.460,-7.507,-14.465,-209.717
3.998,0.622,-0.445,-107.788,-68.542,-349.121
3.363,-0.306,-0.241,-202.698,-96.375,-455.627
0.920,-1.414,0.412,-250.977,-112.610,-496.094
-1.459,-2.386,1.516,-275.208,-82.642,-433.350
-3.522,-3.216,1.381,-230.652,15.442,-305.481
-4.000,-4.000,0.730,-161.316,83.313,-258.728
-4.000,-4.000,0.860,-170.288,103.638,-222.839
-4.000,-3.615,1.504,-184.265,81.421,-172.302
-4.000,-3.162,2.504,-142.517,0.244,-147.461
-4.000,-2.286,2.590,-82.642,-75.500,-115.051
-3.276,-1.369,1.916,-38.818,-53.101,-34.729
-0.867,-0.745,0.808,7.385,64.575,76.050
1.555,-0.248,-0.439,42.847,165.649,127.258
2.629,0.106,-0.832,30.884,131.226,80.627
1.905,0.141,-0.435,-0.977,4.272,-1.770
0.594,-0.071,0.321,-15.259,-86.426,-52.002
-0.448,-0.278,0.967,-11.841,-68.726,-64.514
-0.881,-0.399,1.294,3.906,-13.306,-46.570
-1.014,-0.412,1.332,20.996,16.174,-21.851
-0.932,-0.367,1.119,31.555,13.916,-5.066
-0.661,-0.300,0.771,33.752,8.911,9.705
-0.385,-0.256,0.519,27.527,9.277,18.005
-0.251,-0.247,0.424,17.700,2.319,16.357
-0.252,-0.223,0.550,6.409,-9.888,10.254
-0.290,-0.160,0.789,-1.160,-20.386,6.348
-0.242,-0.097,0.959,1.221,-20.386,8.423
-0.221,-0.107,1.086,9.644,-6.409,10.803
-0.168,-0.074,1.154,16.479,4.944,10.071
-0.177,-0.067,1.112,20.020,9.094,7.629
-0.296,-0.107,1.092,18.616,7.141,4.089
-0.473,-0.123,1.158,15.564,-0.549,-0.244
